# room	name	n_truth_corners	IoU	truth_xy	est_xy
# Regenerated from the 594-room run so the mosaic samples the WHOLE corpus.
451	q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0	6	0.9950	3.9500,-3.0700 3.9500,2.1300 2.8000,2.1300 2.8000,1.4700 -2.6800,1.4700 -2.6800,-3.0700	-2.6900,-3.0700 3.9300,-3.0800 3.9500,2.1200 2.8000,2.1200 2.8000,1.4600 -0.9500,1.4700 -0.9500,1.3900 -2.6800,1.3900
452	qoiz87JEwZ2_88f5ba9d06ac4413b1a3908af6544308	6	1.0000	0.3800,-3.2800 0.3800,-0.8500 3.1000,-0.8500 3.1000,0.5100 -2.5000,0.5100 -2.5000,-3.2800	-2.5000,-3.2800 0.3800,-3.2700 0.3800,-0.8500 3.1000,-0.8400 3.0900,0.5300 -2.5100,0.5100
453	qoiz87JEwZ2_8928b554a7004ef9855170e584781f31	8	0.9880	2.9800,-2.7800 2.9800,-0.2200 0.6700,-0.2200 0.6700,1.1800 -0.1900,1.1800 -0.1900,0.4400 -2.4900,0.4400 -2.4900,-2.7800	-2.5100,-2.7600 2.9600,-2.8300 2.9900,-0.2600 0.6900,-0.2300 0.7000,1.1600 -0.1700,1.1700 -0.1700,0.4300 -2.4700,0.4600
454	qoiz87JEwZ2_a85bf887101b49c3aee8b0da72cd4189	6	0.9790	0.1600,-3.4400 0.1600,-0.3100 0.6100,-0.3100 0.6100,1.8900 -4.2000,1.8900 -4.2000,-3.4400	-4.2200,-3.4000 0.1500,-3.4700 0.1900,-0.3300 0.6400,-0.3400 0.6700,1.8100 0.2200,1.8200 0.2200,1.8600 -4.1400,1.9200
455	qoiz87JEwZ2_bdb1023cb7cc4ebd8245b9291fcbc1a2	6	1.0000	1.4400,-4.8200 1.4400,-0.1400 2.0100,-0.1400 2.0100,0.9000 -2.4700,0.9000 -2.4700,-4.8200	-2.4900,0.9000 -2.4700,-4.8200 1.4500,-4.8000 1.4300,-0.1300 1.9900,-0.1300 1.9900,0.9200
456	qoiz87JEwZ2_be3d7ae0352d481191e4c9e351e71b08	6	0.9980	1.1100,-3.3900 1.1100,-0.9500 2.3000,-0.9500 2.3000,0.5100 -1.8800,0.5100 -1.8800,-3.3900	-1.8900,-3.3800 1.1100,-3.3900 1.1200,-0.9600 2.3000,-0.9600 2.3000,0.5000 -1.8700,0.5100
457	qoiz87JEwZ2_d3020d8bf0cb45fd881991cd53e38baf	8	0.9910	1.3500,-1.4800 1.3500,4.0700 1.8100,4.0700 1.8100,5.1700 -2.8200,5.1700 -2.8200,0.4900 -2.2300,0.4900 -2.2300,-1.4800	-2.2400,0.3500 -2.1400,0.3500 -2.1500,-1.4800 1.3400,-1.4900 1.3600,4.0700 1.8000,4.0700 1.8100,5.1700 -2.8100,5.1800 -2.8200,0.4900 -2.2400,0.4900
458	qoiz87JEwZ2_de655166da274d40841f1e5e488ab641	6	0.9710	-0.3600,-1.6500 -0.3600,-0.6200 6.6400,-0.6200 6.6400,0.5800 -3.4900,0.5800 -3.4900,-1.6500	-3.5000,-1.6400 -0.3600,-1.6600 -0.3500,-0.6300 6.6400,-0.6600 6.6500,0.5300 -3.4800,0.5900
459	qoiz87JEwZ2_e57db85f00a9481787bd9c3c98453f27	10	0.9870	0.4800,-3.0200 0.4800,-1.1400 3.0600,-1.1400 3.0600,1.1300 2.0100,1.1300 2.0100,2.3200 -0.6500,2.3200 -0.6500,1.0900 -4.7800,1.0900 -4.7800,-3.0200	-4.7600,-3.0400 0.5000,-3.0100 0.4900,-1.1300 3.0600,-1.1100 3.0400,1.1300 1.9900,1.1200 1.9900,1.9900 1.7600,1.9900 1.7600,2.3500 -0.6700,2.3300 -0.6600,1.1000 -4.7900,1.0700
460	qoiz87JEwZ2_e6dda34693584c21b33bf327b2539740	6	0.9900	1.3100,-3.0900 1.3100,3.0700 -2.6800,3.0700 -2.6800,-1.9600 -3.4600,-1.9600 -3.4600,-3.0900	-3.4600,-3.0800 1.3100,-3.0900 1.3100,3.0700 -2.6700,3.0700 -2.6800,-1.2700 -2.5100,-1.2700 -2.5100,-1.8800 -2.6800,-1.8800 -2.6800,-2.1600 -3.4600,-2.1600
461	r1Q1Z4BcV1o_35b3d70f47994598aedb510108752797	8	0.9860	6.8000,-4.0600 6.8000,5.1900 1.9500,5.1900 1.9500,1.4800 -2.7100,1.4800 -2.7100,-1.1600 1.8900,-1.1600 1.8900,-4.0600	-2.7200,1.4800 -2.7100,-1.1600 1.9300,-1.1500 1.9400,-4.0500 5.8900,-4.0400 5.8900,-3.8700 6.2600,-3.8700 6.2600,-3.9100 6.8100,-3.9100 6.7800,5.2100 2.0000,5.2000 2.0100,2.7500 1.9200,2.7500 1.9200,2.6700 2.0300,2.6700 2.0300,2.0400 2.0900,2.0400 2.0900,1.6000 1.9200,1.6000 1.9200,1.4900
462	r1Q1Z4BcV1o_cdf8f1073405426c88f1957b3538d4b3	8	0.9830	9.2400,-2.6100 9.2400,3.1500 3.8400,3.1500 3.8400,1.3300 -0.2200,1.3300 -0.2200,-1.3300 4.4800,-1.3300 4.4800,-2.6100	4.4600,-2.5800 9.2200,-2.6100 9.2500,3.0600 6.7200,3.0800 6.7300,3.1600 3.8600,3.1800 3.8500,1.3700 -0.2200,1.3900 -0.2400,-1.2800 4.4700,-1.3100
463	r1Q1Z4BcV1o_d08536af13b44cf486b3d906d76cfaf8	6	0.9930	-0.0000,-4.1900 -0.0000,-1.7500 1.9100,-1.7500 1.9100,0.4800 -2.2300,0.4800 -2.2300,-4.1900	-2.2300,0.4800 -2.2000,-4.1900 0.0200,-4.1800 0.0100,-1.7400 1.9200,-1.7200 1.9100,0.5100
464	r1Q1Z4BcV1o_d3f317176f3b4bd28f915bd387a716c8	6	1.0000	1.1600,-2.3600 1.1600,1.2600 -2.5400,1.2600 -2.5400,2.7200 -5.6600,2.7200 -5.6600,-2.3600	-5.6600,-2.3600 1.1600,-2.3600 1.1700,1.2600 -2.5400,1.2600 -2.5400,2.7100 -5.6600,2.7200
465	r1Q1Z4BcV1o_ea0d50a98d7e47c9a528c364b08bfacd	6	0.9880	1.6200,-1.9000 1.6200,2.6500 -0.4700,2.6500 -0.4700,0.4500 -2.4400,0.4500 -2.4400,-1.9000	-2.4400,0.4600 -2.4400,-1.8900 1.6200,-1.8900 1.6100,2.6600 -0.4800,2.6500 -0.4700,0.4600
466	r1Q1Z4BcV1o_f72db8cac8304a5f9e8d26835a004272	8	0.9870	7.7600,-2.9700 7.7600,4.0100 2.9400,4.0100 2.9400,1.4800 -1.4100,1.4800 -1.4100,-1.2200 3.0500,-1.2200 3.0500,-2.9700	-1.4100,-1.2100 2.9900,-1.2100 2.9900,-2.9600 6.4400,-2.9600 6.4400,-2.8000 6.9300,-2.8000 6.9300,-2.8400 7.7600,-2.8400 7.7600,4.0200 2.9900,4.0200 2.9900,1.4900 -1.4100,1.4900
468	r47D5H71a5s_7dcc99131ec74b968cb9d728c49220e0	6	0.9610	2.4700,-0.7300 2.4700,10.6500 -0.5700,10.6500 -0.5700,0.7700 -3.1400,0.7700 -3.1400,-0.7300	-0.5200,10.6500 -0.5400,6.4100 -0.3800,6.4100 -0.3800,5.8500 -0.3800,5.8500 -0.3800,5.0600 -0.5500,5.0600 -0.5700,0.7700 -3.1400,0.7900 -3.1500,-0.6000 -2.2800,-0.6000 -2.2800,-0.5500 -1.9100,-0.5500 -1.9100,-0.7200 2.4600,-0.7400 2.5100,7.8500 2.3400,7.8500 2.3400,8.7000 2.3400,8.7000 2.3400,9.2400 2.5100,9.2400 2.5200,10.0500 2.3400,10.0500 2.3400,10.6400
469	r47D5H71a5s_a0fbf9972e79491bbcbf4a6e7cf38d8a	6	0.9340	2.7800,-0.8800 2.7800,2.5600 -0.5200,2.5600 -0.5200,0.0000 -1.5800,0.0000 -1.5800,-0.8800	-1.4900,-0.9100 -0.9300,-0.8800 -0.9200,-1.0100 -0.0400,-0.9600 -0.0500,-0.7700 0.6000,-0.7400 0.6100,-0.9300 2.7300,-0.8200 2.6700,0.3800 2.8100,0.3900 2.6900,2.6300 -0.6000,2.4600 -0.4700,-0.0900 -1.5300,-0.1500
470	r47D5H71a5s_cc94b5dda437408a9a166fcdbafa2a48	6	0.9820	0.5300,-2.4000 0.5300,1.2100 -2.7100,1.2100 -2.7100,-1.4400 -4.2900,-1.4400 -4.2900,-2.4000	-4.2700,-2.4300 0.5500,-2.3800 0.5100,1.2300 -2.7400,1.2000 -2.7100,-1.4600 -4.2800,-1.4700
471	rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff	12	0.9650	1.1800,-3.6500 1.1800,-2.0300 2.3300,-2.0300 2.3300,0.5500 1.1200,0.5500 1.1200,2.0100 -1.5000,2.0100 -1.5000,-0.3800 -0.6400,-0.3800 -0.6400,-1.8000 -1.2600,-1.8000 -1.2600,-3.6500	-1.2100,-3.6600 1.2000,-3.6400 1.1900,-2.0300 2.3700,-2.0200 2.3500,0.5700 1.1700,0.5600 1.1600,2.0200 -1.3900,2.0000 -1.3700,-0.3900 -0.6100,-0.3800 -0.6000,-1.8100 -1.2300,-1.8100
472	rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5	12	0.9550	1.1100,-1.4200 1.1100,0.6100 0.6000,0.6100 0.6000,1.1200 -0.6400,1.1200 -0.6400,3.1100 -4.1100,3.1100 -4.1100,-1.1100 -1.9300,-1.1100 -1.9300,-0.5900 -0.8000,-0.5900 -0.8000,-1.4200	-0.7800,-1.3600 1.1300,-1.3300 1.1000,0.7000 0.6100,0.6900 0.6000,1.2000 -0.7500,1.1800 -0.7800,3.1600 -4.1500,3.1100 -4.1000,-0.5700 -4.0600,-0.5700 -4.0500,-1.1100 -1.9400,-1.0800 -1.9500,-0.5500 -0.7900,-0.5300
473	rPc6DW4iMge_fbc169773c954580baea6d2798c0d486	14	0.9650	0.7200,-2.6600 0.7200,-2.2000 1.2800,-2.2000 1.2800,-0.8900 2.6600,-0.8900 2.6600,1.7800 1.1100,1.7800 1.1100,3.0700 -1.3700,3.0700 -1.3700,0.5700 -0.5200,0.5700 -0.5200,-0.7200 -1.3000,-0.7200 -1.3000,-2.6600	-1.2500,-2.6800 0.7800,-2.6500 0.7700,-2.2400 0.8800,-2.2300 0.8800,-2.1900 1.2900,-2.1900 1.2700,-0.8800 2.7200,-0.8600 2.6800,1.8100 1.2300,1.7900 1.2200,2.2000 1.1300,2.1900 1.1100,3.0800 -1.3300,3.0400 -1.2900,0.5500 -0.4800,0.5600 -0.4600,-0.7100 -1.2800,-0.7200
474	sKLMLpTHeUy_2214a74fb40846aa8acf94d88a1b19c0	8	0.9810	0.4700,-1.8900 0.4700,0.0700 1.0800,0.0700 1.0800,4.4600 -2.6100,4.4600 -2.6100,0.0500 -0.4800,0.0500 -0.4800,-1.8900	-2.6100,4.4700 -2.6400,0.0700 -0.5200,0.0500 -0.5300,-1.8900 0.4400,-1.9000 0.4500,0.0500 1.0500,0.0400 1.0800,4.4400
475	sKLMLpTHeUy_2b718e682ee748bd8f192db63b7047ac	8	0.9850	0.5500,-2.5400 0.5500,1.6200 -0.0600,1.6200 -0.0600,2.5000 -1.4000,2.5000 -1.4000,2.0200 -3.1400,2.0200 -3.1400,-2.5400	-3.1400,-2.5300 0.5500,-2.5500 0.5700,1.6100 -0.0400,1.6200 -0.0400,2.4900 -1.3800,2.5000 -1.3800,1.6200 -1.5100,1.6200 -1.5100,2.0300 -3.0800,2.0300 -3.0800,1.6300 -3.1200,1.6300
476	sKLMLpTHeUy_40268bad0e6240a2950ec0b8f46ba5bb	6	0.9700	0.6400,-0.5900 0.6400,5.0700 -0.3600,5.0700 -0.3600,3.1600 -3.3100,3.1600 -3.3100,-0.5900	-3.2600,-0.6200 0.7000,-0.5400 0.5900,5.1200 -0.4200,5.1000 -0.3800,3.1900 -3.3300,3.1400
477	sKLMLpTHeUy_522362613f6341389177c0c259455f38	6	0.9890	0.6800,-5.7500 0.6800,3.7500 -0.6900,3.7500 -0.6900,2.0800 -4.4800,2.0800 -4.4800,-5.7500	-4.4900,-5.7300 0.6700,-5.7500 0.7000,3.7500 -0.5400,3.7600 -0.5500,2.0900 -4.4700,2.1000 -4.4700,1.4300 -4.2600,1.4300 -4.2600,1.0200 -4.4700,1.0200
478	sKLMLpTHeUy_54ec02d8e3b34bb98f816214688ee85c	6	0.9310	3.1200,-3.3500 3.1200,0.2800 0.3700,0.2800 0.3700,1.1200 -0.6500,1.1200 -0.6500,-3.3500	-0.6600,1.0600 -0.4600,-3.4100 3.1700,-3.2400 3.1000,-1.6500 3.2300,-1.6400 3.1400,0.3900 0.3800,0.2700 0.3400,1.1100
479	sKLMLpTHeUy_5832fa0c60c9437b88f5d4caea1ee610	6	0.9860	3.3700,-3.5300 3.3700,0.6800 -1.1600,0.6800 -1.1600,-0.4700 -0.5300,-0.4700 -0.5300,-3.5300	3.3500,0.7000 -1.1700,0.6800 -1.1700,-0.4700 -0.5400,-0.4700 -0.5300,-3.5300 3.3700,-3.5200
480	sKLMLpTHeUy_5b51cd89b9cd4ee5926803ed37c834ea	14	0.9850	1.8300,-1.4300 1.8300,6.0300 -0.1100,6.0300 -0.1100,3.6800 -7.9700,3.6800 -7.9700,2.1200 -5.7600,2.1200 -5.7600,-0.6000 -7.9700,-0.6000 -7.9700,-1.4200 -2.8100,-1.4200 -2.8100,-0.7700 -0.9900,-0.7700 -0.9900,-1.4300	-7.9600,-1.4200 -2.8100,-1.4000 -2.8100,-0.7400 -0.8700,-0.7400 -0.8700,-1.3900 1.8400,-1.3800 1.8100,6.0700 -0.1300,6.0700 -0.1200,3.7100 -6.8700,3.6900 -6.8700,3.5200 -7.2700,3.5200 -7.2700,3.5200 -7.9800,3.5200 -7.9700,2.1100 -5.7600,2.1200 -5.7500,-0.6000 -7.9600,-0.6100
481	sKLMLpTHeUy_5c092cee3b7c4684955a2827c06b87e1	6	0.9900	2.9300,-3.5500 2.9300,0.3100 0.3200,0.3100 0.3200,2.0600 -0.6900,2.0600 -0.6900,-3.5500	-0.6800,2.0600 -0.6900,-3.5400 2.9200,-3.5500 2.9300,0.3100 0.3100,0.3100 0.3200,2.0600
482	sKLMLpTHeUy_7401b31bb6bc415d8802bcca69c7f12a	6	0.9880	1.3000,-3.0000 1.3000,0.6200 -1.3200,0.6200 -1.3200,1.1700 -2.5100,1.1700 -2.5100,-3.0000	-2.5200,-3.0000 1.2800,-3.0200 1.2900,0.6100 -1.3300,0.6200 -1.3200,1.1600 -2.5100,1.1600
483	sKLMLpTHeUy_76df66b4815b44abb28ecdc7bdd95a29	6	0.9950	2.0700,-0.7200 2.0700,3.0800 -0.3600,3.0800 -0.3600,4.5300 -1.3700,4.5300 -1.3700,-0.7200	-1.3800,4.5100 -1.3500,-0.7300 2.0900,-0.7200 2.0700,3.0800 -0.3600,3.0700 -0.3700,4.5200
484	sKLMLpTHeUy_7c3b9e689c014d5483dcee581d6c53f5	8	0.9120	13.9500,-1.8800 13.9500,-0.3200 3.4800,-0.3200 3.4800,0.5900 -5.2200,0.5900 -5.2200,-0.7100 2.0900,-0.7100 2.0900,-1.8800	2.1000,-1.8600 5.0600,-1.8900 5.0700,-1.7300 5.9500,-1.7300 5.9400,-1.9000 6.6300,-1.9100 6.6300,-1.7900 7.1700,-1.7900 7.1700,-1.8100 8.2800,-1.8300 8.2800,-1.7300 8.7500,-1.7300 8.7500,-1.7300 9.2900,-1.7300 9.2900,-1.9400 13.2900,-1.9800 13.2900,-1.7300 13.9700,-1.7400 13.9800,-0.4300 3.5000,-0.3100 3.5100,0.5900 -3.7900,0.6700 -3.8000,0.5000 -4.3600,0.5100 -4.3500,0.6800 -5.1800,0.6900 -5.2000,-0.6100 2.1100,-0.6900
485	sKLMLpTHeUy_8a3c83d4c42842c8a60866868b7730a4	12	0.7560	6.4700,-1.0700 6.4700,0.6000 0.5200,0.6000 0.5200,3.1400 -0.6000,3.1400 -0.6000,1.5400 -7.9300,1.5400 -7.9300,0.2100 -1.0200,0.2100 -1.0200,-0.5900 0.3000,-0.5900 0.3000,-1.0700	6.3400,-1.6600 6.4800,-0.0100 0.5500,0.5000 0.6500,1.7400 0.5000,1.7500 0.6100,3.0600 -0.3500,3.1400 -0.4900,1.5400 -1.9600,1.6600 -1.9700,1.5100 -3.2400,1.6200 -3.2600,1.4400 -3.9900,1.5100 -3.9800,1.6200 -4.4600,1.6700 -4.4400,1.8800 -7.7900,2.1700 -7.9000,0.8400 -7.8600,0.8300 -7.9000,0.3500 -3.6900,-0.0100 -3.6500,0.4700 -1.0000,0.2400 -1.0700,-0.5500 -0.6700,-0.5800 -0.6700,-0.5800 0.2500,-0.6600 0.2000,-1.1400 0.8100,-1.1900 0.8200,-1.0800 1.1000,-1.1000 1.1200,-0.9600 3.9300,-1.2100 3.9100,-1.4500
486	sKLMLpTHeUy_8f1702c829e84c9f9b440be385f50367	6	0.9700	3.1800,-1.2600 3.1800,3.6000 2.1600,3.6000 2.1600,2.5900 -0.7500,2.5900 -0.7500,-1.2600	-0.7000,-1.3300 3.2300,-1.2400 3.1300,3.6200 2.1200,3.5900 2.1400,2.5900 -0.7900,2.5200
487	sKLMLpTHeUy_9b9d929b88994a0eaf69501c2cab3444	8	0.8850	0.6200,-2.8500 0.6200,4.2000 1.5900,4.2000 1.5900,12.0000 0.2800,12.0000 0.2800,5.8900 -0.6600,5.8900 -0.6600,-2.8500	-0.7700,-2.8300 0.5100,-2.8400 0.5100,-2.8000 0.7900,-2.8100 0.8900,4.1700 0.6100,4.1700 0.6100,4.2100 1.5800,4.2000 1.6900,11.9900 0.3800,12.0100 0.2900,5.9000 -0.6400,5.9200
488	sKLMLpTHeUy_a183fdb964e144488b74375d9ea65dd9	6	0.9840	-0.7100,-1.0700 4.5400,-1.0700 4.5400,0.5000 3.3500,0.5000 3.3500,1.9700 -0.7100,1.9700	-0.7300,-1.0800 4.5100,-1.0700 4.5000,0.5000 3.3200,0.5000 3.3200,1.9700 -0.7400,1.9600
489	sKLMLpTHeUy_a78f668e5f7b4afebd355b946aeb9422	10	0.9850	3.9400,-1.1200 3.9400,2.4700 -0.0400,2.4700 -0.0400,1.8000 -1.0500,1.8000 -1.0500,0.3000 -2.5600,0.3000 -2.5600,-0.5300 -0.5300,-0.5300 -0.5300,-1.1200	-0.5300,-1.1200 3.9300,-1.1200 3.9300,2.4700 -0.0500,2.4700 -0.0500,1.8100 -1.0500,1.8100 -1.0500,0.3000 -2.5600,0.3000 -2.5600,-0.5400 -2.5200,-0.5400 -2.5200,-0.3700 -2.0500,-0.3700 -2.0500,-0.4100 -0.9700,-0.4100 -0.9700,-0.3700 -0.6000,-0.3700 -0.6000,-0.5400 -0.5300,-0.5400
490	sKLMLpTHeUy_b7399a1023fa401cac7c61be394ab63d	6	0.9840	2.8600,-2.6000 2.8600,-1.2100 1.3600,-1.2100 1.3600,2.5000 -6.2400,2.5000 -6.2400,-2.6000	-6.2300,-2.6100 2.8700,-2.5700 2.8700,-1.3000 1.3600,-1.3000 1.3500,2.2600 1.0400,2.2600 1.0400,2.5200 0.4700,2.5100 0.4700,2.4200 -1.0700,2.4100 -1.0700,2.4300 -2.6100,2.4200 -2.6100,2.5000 -6.2500,2.4800
491	sKLMLpTHeUy_b75981f465ee4e9cb88d8ffa92a8d5ba	8	0.9840	0.5500,-4.7200 0.5500,2.2200 -1.1900,2.2200 -1.1900,0.2400 -8.1700,0.2400 -8.1700,-1.1100 -6.8700,-1.1100 -6.8700,-4.7200	-6.8600,-4.7300 0.5500,-4.7200 0.5400,2.2300 -1.2000,2.2200 -1.2000,0.2400 -3.8300,0.2300 -3.8300,0.0600 -4.3100,0.0600 -4.3100,0.1000 -8.1800,0.1000 -8.1700,-1.1300 -6.8700,-1.1200
492	sKLMLpTHeUy_b814285591cc43f799874da54f847a54	10	0.9790	3.8200,-6.7200 3.8200,-0.9400 0.5100,-0.9400 0.5100,0.1400 3.5500,0.1400 3.5500,1.4000 -5.2000,1.4000 -5.2000,0.1200 -0.5500,0.1200 -0.5500,-6.7200	-0.5400,-6.7300 3.8100,-6.7000 3.7800,-0.9200 0.4700,-0.9400 0.4600,0.1300 3.5800,0.1400 3.5700,1.3900 0.4500,1.3700 0.4500,1.4100 -5.1800,1.3800 -5.1700,0.1200 -0.5900,0.1400 -0.5800,0.0200 -0.4100,0.0200 -0.4000,-1.8600 -0.5700,-1.8700
493	sKLMLpTHeUy_cd34b75acbf5486bba1630b63870a345	8	0.9920	0.9900,-4.8300 0.9900,-2.7000 9.0800,-2.7000 9.0800,-1.3600 7.0200,-1.3600 7.0200,2.3700 -0.8500,2.3700 -0.8500,-4.8300	-0.8600,-4.8300 0.9800,-4.8400 0.9900,-2.7100 9.0800,-2.7500 9.0800,-1.3900 7.0200,-1.3800 7.0400,2.3300 -0.0900,2.3600 -0.0900,2.2500 -0.8300,2.2500
494	sKLMLpTHeUy_d9a69bc7b8a54a319a05f366120ef056	6	0.9980	2.6400,-0.9900 2.6400,0.2900 0.8200,0.2900 0.8200,3.9500 -6.4800,3.9500 -6.4800,-0.9900	-6.4800,-1.0000 2.6400,-0.9800 2.6400,0.3300 0.8200,0.3200 0.8100,3.9600 -6.4900,3.9400
495	sKLMLpTHeUy_dfa0373deb9d4e5db88b76c95dc0d6a9	8	0.9900	4.5600,-1.4900 4.5600,3.0800 -0.6100,3.0800 -0.6100,5.6900 -5.1800,5.6900 -5.1800,0.6900 -2.8100,0.6900 -2.8100,-1.4900	-2.8200,-1.5000 4.5500,-1.4700 4.5300,3.1000 -0.6300,3.0800 -0.6400,5.6800 -5.2200,5.6600 -5.2000,0.6700 -2.8300,0.6800
496	sKLMLpTHeUy_e82e3f859f25463c8b9505111de68b78	6	1.0000	3.0000,-3.2800 3.0000,-0.4500 3.9700,-0.4500 3.9700,0.5500 -0.6000,0.5500 -0.6000,-3.2800	-0.6100,-3.2700 2.9900,-3.2800 3.0000,-0.4400 3.9700,-0.4500 3.9700,0.5500 -0.6000,0.5600
497	sKLMLpTHeUy_f67a0a7122734994ab1807898f0e8441	8	0.9880	4.1400,-5.8800 4.1400,1.5100 -2.8300,1.5100 -2.8300,-0.2700 -0.8500,-0.2700 -0.8500,-8.3600 0.4000,-8.3600 0.4000,-5.8800	-0.8700,-8.3500 0.3900,-8.3600 0.4000,-5.8700 4.1200,-5.8800 4.1300,-5.3500 3.9500,-5.3500 3.9500,-4.9100 3.9500,-4.9100 3.9500,-4.5200 4.1300,-4.5200 4.1300,-4.0500 3.9500,-4.0500 3.9500,-3.4000 4.1300,-3.4000 4.1500,1.5000 -2.8300,1.5200 -2.8300,-0.2600 -0.8500,-0.2700
499	sT4fr6TAbpF_00f205a65f374c5299b67176c0852e91	8	0.9940	0.8000,-0.5800 0.8000,-0.1200 1.3100,-0.1200 1.3100,5.2700 -6.5600,5.2700 -6.5600,-0.1100 -0.6700,-0.1100 -0.6700,-0.5800	1.3100,-0.1300 1.3300,5.2600 -1.4900,5.2700 -1.4900,5.1100 -1.8400,5.1100 -1.8400,5.2700 -4.9100,5.2800 -4.9100,5.1800 -6.5500,5.1900 -6.5600,-0.1100 -0.6700,-0.1200 -0.6700,-0.5900 0.8000,-0.6000 0.8000,-0.1300
500	sT4fr6TAbpF_12eaf8b2b7b64622b330bd58d275f02a	8	0.9820	4.8900,-1.8200 4.8900,4.2000 -1.5600,4.2000 -1.5600,0.6000 -7.2400,0.6000 -7.2400,-0.6400 -1.5600,-0.6400 -1.5600,-1.8200	-1.5700,-1.8100 4.8900,-1.8200 4.9000,4.2100 -1.5600,4.2200 -1.5600,0.6300 -7.2400,0.6400 -7.2500,-0.6300 -7.2100,-0.6300 -7.2100,-0.8600 -4.6500,-0.8700 -4.6500,-0.6300 -1.5600,-0.6400
501	sT4fr6TAbpF_177f67f4e2264d24996672f84cd38405	8	0.9840	3.2400,-6.4400 3.2400,0.0800 0.6100,0.0800 0.6100,5.4700 -1.7200,5.4700 -1.7200,0.5500 -0.9500,0.5500 -0.9500,-6.4400	-0.9400,-6.4400 3.1500,-6.4300 3.1500,-4.7300 3.2400,-4.7300 3.2200,0.0900 0.5900,0.0800 0.5800,5.4700 -1.7500,5.4600 -1.7400,0.5400 -0.9600,0.5400
502	sT4fr6TAbpF_4c778faa3ebe485590f7b201b0090251	6	0.9810	5.2900,-0.8600 5.2900,1.5600 9.2400,1.5600 9.2400,3.0100 -1.6800,3.0100 -1.6800,-0.8600	-1.6800,-0.8600 5.3000,-0.8600 5.2900,1.6900 9.1200,1.7000 9.1200,3.0200 -1.6800,3.0000
503	sT4fr6TAbpF_4cb29a3b0953492ab298b638d9cc092d	8	0.9750	6.0700,-1.7100 6.0700,2.2400 8.8600,2.2400 8.8600,3.4300 6.0700,3.4300 6.0700,4.4100 -0.9400,4.4100 -0.9400,-1.7100	-0.9500,-0.2900 -0.8600,-0.2900 -0.8700,-1.7100 -0.1300,-1.7100 -0.1300,-1.5500 0.3800,-1.5500 0.3800,-1.5500 0.9500,-1.5500 0.9500,-1.7100 6.0700,-1.7300 6.0800,2.2000 8.8700,2.1900 8.8800,3.4100 7.8400,3.4100 7.8400,3.2500 7.4300,3.2500 7.4300,3.3300 6.2400,3.3300 6.2400,3.4200 6.0900,3.4200 6.0900,4.3900 -0.9300,4.4100
504	sT4fr6TAbpF_5d8d5fbcc95e47b4be3ef51862b4d1f8	8	0.9860	2.1200,-4.2000 2.1200,0.8200 -0.0800,0.8200 -0.0800,2.4000 -2.7000,2.4000 -2.7000,0.8400 -3.2700,0.8400 -3.2700,-4.2000	-3.3000,-4.1700 1.9100,-4.2300 1.9100,-3.8300 2.1000,-3.8300 2.1500,0.7900 -0.0400,0.8200 -0.0200,2.3900 -2.6400,2.4200 -2.6600,0.8500 -3.2300,0.8600
505	sT4fr6TAbpF_6ae4a52e16074a7f9e8cbbba2bf16eac	6	0.9890	1.6700,-1.8200 1.6700,2.8500 -0.9000,2.8500 -0.9000,1.2600 -1.8700,1.2600 -1.8700,-1.8200	-1.8700,-1.8000 1.6700,-1.8200 1.6900,2.8500 -0.8800,2.8600 -0.8900,1.2700 -1.8500,1.2800
506	sT4fr6TAbpF_6e41a7632c5a4048a17a316d7192b97e	6	1.0000	-0.0600,-4.3000 -0.0600,-0.7300 0.5000,-0.7300 0.5000,0.7800 -5.4000,0.7800 -5.4000,-4.3000	-5.3900,-4.3000 -0.0500,-4.3000 -0.0500,-0.7200 0.5100,-0.7200 0.5100,0.7800 -5.3900,0.7700
507	sT4fr6TAbpF_7d41ce8de085471f9d97bbff6b0c1831	8	0.9980	5.5400,-2.9300 5.5400,0.8600 10.4400,0.8600 10.4400,2.0500 5.5400,2.0500 5.5400,3.3100 -0.8800,3.3100 -0.8800,-2.9300	-0.8900,-2.9300 5.5300,-2.9400 5.5400,0.8500 10.4400,0.8400 10.4400,2.0400 5.5400,2.0400 5.5400,3.3000 -0.8800,3.3100
508	sT4fr6TAbpF_8112f9278bdf4dfbad53e140b846620c	8	0.9710	0.8100,-2.9700 0.8100,2.8200 -5.7700,2.8200 -5.7700,1.8100 -9.3900,1.8100 -9.3900,0.6000 -5.7700,0.6000 -5.7700,-2.9700	-5.7400,-2.5700 -5.6000,-2.5600 -5.5900,-3.0100 0.8500,-2.9200 0.7800,2.8700 -4.2900,2.8000 -4.2900,2.6900 -5.1800,2.6800 -5.1800,2.7900 -5.8000,2.7800 -5.7900,1.7700 -5.8600,1.7700 -5.8600,1.6800 -7.6600,1.6500 -7.6600,1.7500 -8.9200,1.7300 -8.9200,1.5100 -9.4000,1.5100 -9.3900,0.5100 -5.7800,0.5500
